rollout,samples,topk,cem_steps,mean_inference_latency_ms,std_inference_latency_ms,mean_rep_l1_error,std_rep_l1_error,mean_pose_error_m,std_pose_error_m
2,10,10,15,1991.688408460468,1.4883295968201304,0.45559950172901154,0.027122058791522477,0.037993417283520105,0.023030406439432573
2,10,10,20,2613.9736420130357,2.5146393794458417,0.45501520156860353,0.028523838593106258,0.03752501007542014,0.020891432019631742
2,15,5,5,1031.4597252672538,3.206931920786032,0.45057668948173524,0.02616694353798317,0.07794543135538698,0.03291756841558469
2,15,5,10,1940.278206252493,4.352578613601234,0.453365842461586,0.027373295956302633,0.07939553412050009,0.022660530651077183
2,15,5,15,2850.1267234273255,4.665957116614239,0.45322217226028444,0.02631484038202506,0.08509981564432383,0.03009674541469374
2,15,5,20,3766.2803016006947,2.3414148024740067,0.45097451269626615,0.0270243360458701,0.0835862672291696,0.02844511820812975
2,15,10,5,1034.201459391974,4.37208085856455,0.45245220279693604,0.026285877736831054,0.0507923281416297,0.02154232937778158
2,15,10,10,1942.1424644440413,1.9150089821162963,0.45438750278949736,0.02956821586823401,0.05700081837922335,0.022209520384844722
2,15,10,15,2857.2732880916446,4.493742380022406,0.4532280706167221,0.02803308346260714,0.06233710061013699,0.021418968096285136
2,15,10,20,3768.5990854939446,3.4910477537372695,0.4501998691558838,0.027188939964448006,0.06601902429014445,0.023022616139005476
2,20,5,5,1337.8612102465704,3.488122190608757,0.4528224202394485,0.026368926991156602,0.07939737375825644,0.029245662925343106
2,20,5,10,2550.546623714268,1.5827192867147615,0.45225124680995943,0.02889239590311093,0.08678755447268487,0.02632581875497986
2,20,5,15,3765.7037223512307,2.5368618493603723,0.452562465429306,0.02789322426525751,0.08249829296022654,0.028593472713713784
2,20,5,20,4981.027093858458,5.023481075142008,0.45332739448547366,0.026383813761562618,0.08368588861823081,0.026441693448611168
2,20,10,5,1336.84555139672,3.2780437475630517,0.4548865604400635,0.027403351558472944,0.06255006792768836,0.023337713667420025
2,20,10,10,2551.4374733762816,2.3019599628765626,0.45390012764930726,0.0260429666462512,0.07280858578905464,0.02540756137156519
2,20,10,15,3765.044528982602,2.6536988180314047,0.4514949272871017,0.02624591327813691,0.07438718171417713,0.024752917922629365
2,20,10,20,4979.903764051385,3.213044031770214,0.45314681792259215,0.02620450351576565,0.07716684541106224,0.023966528984916132
3,5,5,5,816.900746610947,3.2903065691484636,0.45458111429214476,0.024618886067619677,0.05345129149220884,0.025926003473830436
3,5,5,10,1498.1990415658802,2.371315127321133,0.4554910799264908,0.025846411684067604,0.055466360615566375,0.02748205726309819
3,5,5,15,2178.9921421175823,3.242429836301968,0.45549230885505676,0.02415345604829263,0.05223996993899346,0.025865582186945426
3,5,5,20,2858.232015759684,2.161747375123504,0.45412756288051603,0.025892617026698112,0.05574465099163353,0.02428136981381316
3,10,5,5,1429.0066824182868,2.1461537908841133,0.4550338335037231,0.028636564326269,0.07719238997623325,0.02615348366601451
3,10,5,10,2718.9299870040268,2.526301631875325,0.45340521168708803,0.02564377176478954,0.0896280092522502,0.028275750004750376
3,10,5,15,4024.2498477967456,2.956352354428962,0.45424056112766265,0.025429046571358846,0.09346793591976166,0.0305899691570651
3,10,5,20,5316.669721957296,4.160724064447761,0.4547913327217102,0.028639550551552845,0.0961329024285078,0.031548728918379135
3,10,10,5,1433.40033395309,2.2545143384765787,0.45698417055606844,0.02569305804101518,0.04077002037875354,0.020439226656080674
3,10,10,10,2728.4554363936186,2.1167589668948588,0.4565895243883133,0.025723376490931184,0.04264816689491272,0.02234857735760591
3,10,10,15,4022.488836714998,2.8804479890607264,0.4567739735841751,0.025212003772047867,0.042815841112285855,0.024014825511835897
3,10,10,20,5317.119397811592,3.66510545530782,0.4573180066347122,0.02608455567956142,0.04452739481069148,0.025994120958277148
3,15,5,5,2063.0859438385814,3.1307578716825524,0.4524785188436508,0.020922935894768548,0.09242681445553899,0.029029174121341907
